hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,4542154
2,15,7.5,22.5,12822505
3,30,22.5,37.5,28154854
4,45,37.5,52.5,66596646
5,60,52.5,67.5,72748895
6,75,67.5,82.5,66855857
7,90,82.5,97.5,49309448
8,105,97.5,112.5,15616410
9,120,112.5,127.5,5007715
10,135,127.5,142.5,2872095
11,150,142.5,157.5,2305728
12,165,157.5,172.5,2265085
13,180,172.5,187.5,2693950
14,195,187.5,202.5,3347924
15,210,202.5,217.5,5615903
16,225,217.5,232.5,11843698
17,240,232.5,247.5,16239384
18,255,247.5,262.5,4935609
19,270,262.5,277.5,1994048
20,285,277.5,292.5,1305936
21,300,292.5,307.5,1187666
22,315,307.5,322.5,1407959
23,330,322.5,337.5,1816017
24,345,337.5,352.5,2586605
