hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,155783
2,15,7.5,22.5,680753
3,30,22.5,37.5,462222
4,45,37.5,52.5,488250
5,60,52.5,67.5,281542
6,75,67.5,82.5,153509
7,90,82.5,97.5,93352
8,105,97.5,112.5,54006
9,120,112.5,127.5,64564
10,135,127.5,142.5,93958
11,150,142.5,157.5,66449
12,165,157.5,172.5,31672
13,180,172.5,187.5,54356
14,195,187.5,202.5,44462
15,210,202.5,217.5,121185
16,225,217.5,232.5,276406
17,240,232.5,247.5,376176
18,255,247.5,262.5,348766
19,270,262.5,277.5,153258
20,285,277.5,292.5,57150
21,300,292.5,307.5,51183
22,315,307.5,322.5,45225
23,330,322.5,337.5,54215
24,345,337.5,352.5,59118
