hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,212530487
2,15,7.5,22.5,956846235
3,30,22.5,37.5,1863766877
4,45,37.5,52.5,2224550775
5,60,52.5,67.5,1472955861
6,75,67.5,82.5,914513518
7,90,82.5,97.5,776671483
8,105,97.5,112.5,523075634
9,120,112.5,127.5,322752632
10,135,127.5,142.5,186773575
11,150,142.5,157.5,133810758
12,165,157.5,172.5,125071105
13,180,172.5,187.5,161281498
14,195,187.5,202.5,270232420
15,210,202.5,217.5,409719406
16,225,217.5,232.5,1099518825
17,240,232.5,247.5,1384350285
18,255,247.5,262.5,551538048
19,270,262.5,277.5,246138415
20,285,277.5,292.5,97397182
21,300,292.5,307.5,79323520
22,315,307.5,322.5,81707403
23,330,322.5,337.5,65236120
24,345,337.5,352.5,108490191
