hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,61237
2,15,7.5,22.5,337010
3,30,22.5,37.5,1964348
4,45,37.5,52.5,7858725
5,60,52.5,67.5,5674591
6,75,67.5,82.5,2796330
7,90,82.5,97.5,2832506
8,105,97.5,112.5,1919043
9,120,112.5,127.5,309422
10,135,127.5,142.5,92661
11,150,142.5,157.5,93492
12,165,157.5,172.5,25360
13,180,172.5,187.5,21254
14,195,187.5,202.5,29064
15,210,202.5,217.5,85707
16,225,217.5,232.5,158837
17,240,232.5,247.5,273865
18,255,247.5,262.5,80478
19,270,262.5,277.5,8066
20,285,277.5,292.5,3473
21,300,292.5,307.5,1967
22,315,307.5,322.5,1784
23,330,322.5,337.5,3053
24,345,337.5,352.5,10616
