hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,72705
2,15,7.5,22.5,183845
3,30,22.5,37.5,479819
4,45,37.5,52.5,2075059
5,60,52.5,67.5,2435061
6,75,67.5,82.5,1451121
7,90,82.5,97.5,575477
8,105,97.5,112.5,252857
9,120,112.5,127.5,136392
10,135,127.5,142.5,89718
11,150,142.5,157.5,60434
12,165,157.5,172.5,55043
13,180,172.5,187.5,63719
14,195,187.5,202.5,89086
15,210,202.5,217.5,178121
16,225,217.5,232.5,829745
17,240,232.5,247.5,1467817
18,255,247.5,262.5,236963
19,270,262.5,277.5,85971
20,285,277.5,292.5,34966
21,300,292.5,307.5,21950
22,315,307.5,322.5,16803
23,330,322.5,337.5,17964
24,345,337.5,352.5,31038
