hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,1556372
2,15,7.5,22.5,3892141
3,30,22.5,37.5,5324267
4,45,37.5,52.5,6949222
5,60,52.5,67.5,5349078
6,75,67.5,82.5,3136712
7,90,82.5,97.5,2267326
8,105,97.5,112.5,1577858
9,120,112.5,127.5,1002190
10,135,127.5,142.5,869523
11,150,142.5,157.5,1289864
12,165,157.5,172.5,1429282
13,180,172.5,187.5,1898221
14,195,187.5,202.5,2956065
15,210,202.5,217.5,4277225
16,225,217.5,232.5,6004282
17,240,232.5,247.5,6157221
18,255,247.5,262.5,2567990
19,270,262.5,277.5,721304
20,285,277.5,292.5,330057
21,300,292.5,307.5,209274
22,315,307.5,322.5,185178
23,330,322.5,337.5,317576
24,345,337.5,352.5,663918
