hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,175397
2,15,7.5,22.5,327761
3,30,22.5,37.5,241835
4,45,37.5,52.5,475882
5,60,52.5,67.5,226424
6,75,67.5,82.5,224592
7,90,82.5,97.5,314305
8,105,97.5,112.5,181443
9,120,112.5,127.5,59801
10,135,127.5,142.5,29912
11,150,142.5,157.5,14715
12,165,157.5,172.5,21077
13,180,172.5,187.5,32721
14,195,187.5,202.5,309649
15,210,202.5,217.5,102672
16,225,217.5,232.5,108329
17,240,232.5,247.5,181557
18,255,247.5,262.5,247871
19,270,262.5,277.5,79997
20,285,277.5,292.5,36199
21,300,292.5,307.5,16121
22,315,307.5,322.5,15530
23,330,322.5,337.5,29541
24,345,337.5,352.5,46479
