hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,3447912
2,15,7.5,22.5,6363421
3,30,22.5,37.5,14683959
4,45,37.5,52.5,9321331
5,60,52.5,67.5,5778905
6,75,67.5,82.5,5098319
7,90,82.5,97.5,4563959
8,105,97.5,112.5,6000455
9,120,112.5,127.5,3472336
10,135,127.5,142.5,1532392
11,150,142.5,157.5,1055268
12,165,157.5,172.5,1025777
13,180,172.5,187.5,1463528
14,195,187.5,202.5,2223341
15,210,202.5,217.5,3129671
16,225,217.5,232.5,3644256
17,240,232.5,247.5,3200483
18,255,247.5,262.5,1658833
19,270,262.5,277.5,872152
20,285,277.5,292.5,750166
21,300,292.5,307.5,595246
22,315,307.5,322.5,652006
23,330,322.5,337.5,1064224
24,345,337.5,352.5,1582694
