depth,quadrant,direction,threshold_mean,threshold_se,n_measured,measured_rate,max_tested_mean
fc,orange,chroma_minus,0.09549976619501721,0.002013618734834358,10.0,1.0,0.11214917680930889
fc,orange,chroma_plus,0.16251948346513817,0.0013337818544845008,10.0,1.0,0.16299415172975068
fc,orange,hue_minus,0.12008105329373261,0.0028267144530933243,10.0,1.0,0.13371088771651968
fc,orange,hue_plus,0.1606478182789102,0.0018956949770758276,10.0,1.0,0.16104112065485948
fc,purple,chroma_minus,0.11487951468966755,0.0010815907187066234,10.0,1.0,0.12921721536118985
fc,purple,chroma_plus,0.1590477251199943,0.0030415890146810337,10.0,1.0,0.15976965344545138
fc,purple,hue_minus,0.10854046776800437,0.0042810069147371085,10.0,1.0,0.1199285295313383
fc,purple,hue_plus,0.07395525529597788,0.0021634928477504522,10.0,1.0,0.08945220857541472
layer1,orange,chroma_minus,0.05900032978020588,0.003463124849523475,10.0,1.0,0.07752291663830188
layer1,orange,chroma_plus,0.0793016249988519,0.003049406156359626,10.0,1.0,0.0875646415395977
layer1,orange,hue_minus,0.06278017883367429,0.002439587363045517,10.0,1.0,0.07277251539662814
layer1,orange,hue_plus,0.1126969745329666,0.00374585150168593,9.0,0.9,0.11595737726922739
layer1,purple,chroma_minus,0.06889527473734793,0.0022935238154055807,10.0,1.0,0.0832726266625332
layer1,purple,chroma_plus,0.09886946482526368,0.0048913651393703095,10.0,1.0,0.11018066639050599
layer1,purple,hue_minus,0.06454387160772007,0.0060868665766932615,10.0,1.0,0.07717033676617095
layer1,purple,hue_plus,0.049557065663228095,0.003527066218535953,10.0,1.0,0.06742316808693793
layer2,orange,chroma_minus,0.06799332399104775,0.001766577831515766,10.0,1.0,0.0819634082254189
layer2,orange,chroma_plus,0.11015134083594214,0.0059138203612419,10.0,1.0,0.12260818976218317
layer2,orange,hue_minus,0.0711316315940901,0.001655273108596897,10.0,1.0,0.08079775778287117
layer2,orange,hue_plus,0.13114184883660243,0.00529183336069457,10.0,1.0,0.13922160756086863
layer2,purple,chroma_minus,0.06729279659097255,0.0027265810484163946,10.0,1.0,0.08801718029245872
layer2,purple,chroma_plus,0.1274639070238698,0.0051808944495621905,10.0,1.0,0.13858031449168234
layer2,purple,hue_minus,0.06648576506300768,0.00504454544645071,10.0,1.0,0.08787295885179107
layer2,purple,hue_plus,0.03824990101670071,0.0013088907360532971,10.0,1.0,0.05050738355044776
layer3,orange,chroma_minus,0.07758046415284443,0.0025819037954659236,10.0,1.0,0.09525141984400075
layer3,orange,chroma_plus,0.13545028114120158,0.005386360313450789,10.0,1.0,0.1408043631741122
layer3,orange,hue_minus,0.09577554945669423,0.0019782207638691612,10.0,1.0,0.11171288933053687
layer3,orange,hue_plus,0.15936885189201191,0.0022011091312244607,10.0,1.0,0.16098060091071903
layer3,purple,chroma_minus,0.08604291843190323,0.002438471462179992,10.0,1.0,0.10171636159275632
layer3,purple,chroma_plus,0.15001106658192567,0.004489644660422876,10.0,1.0,0.15389714284121425
layer3,purple,hue_minus,0.07352556672713985,0.0027538633120193527,10.0,1.0,0.0950299973862166
layer3,purple,hue_plus,0.04053148926841659,0.0011374267417072735,10.0,1.0,0.05509809490625685
layer4,orange,chroma_minus,0.08247789098178213,0.0016209884009272706,10.0,1.0,0.1022350857883461
layer4,orange,chroma_plus,0.15470293629248316,0.0040920005478342625,10.0,1.0,0.15620538686295823
layer4,orange,hue_minus,0.10916876856759528,0.0024610902028908152,10.0,1.0,0.12257485727900655
layer4,orange,hue_plus,0.16343484286816806,0.0007758592034662107,10.0,1.0,0.1634195369522206
layer4,purple,chroma_minus,0.10482644612270339,0.0021848629799637743,10.0,1.0,0.12269167605773297
layer4,purple,chroma_plus,0.1615059083865701,0.0015658696961983118,9.0,0.9,0.16222029304849397
layer4,purple,hue_minus,0.08514992246705393,0.0029870150204642483,10.0,1.0,0.09774702429504169
layer4,purple,hue_plus,0.06533952667423933,0.0018292579467184622,10.0,1.0,0.08308846978062008
stem,orange,chroma_minus,0.061327006764263614,0.003970484701985245,10.0,1.0,0.07798368604557906
stem,orange,chroma_plus,0.08129969816423054,0.005502921734094621,10.0,1.0,0.09497743306203117
stem,orange,hue_minus,0.07534460371749024,0.0038905597056462554,10.0,1.0,0.0919693957359525
stem,orange,hue_plus,0.08093865618415698,0.004994720183131035,10.0,1.0,0.09618415163433737
stem,purple,chroma_minus,0.06535869995264551,0.0031056469433614763,10.0,1.0,0.07521796456430387
stem,purple,chroma_plus,0.08572119661291171,0.005924534529397472,10.0,1.0,0.10353415806431157
stem,purple,hue_minus,0.05671310381183262,0.0037796093831287824,10.0,1.0,0.07850866981655488
stem,purple,hue_plus,0.05193926592748037,0.0037952837759110346,10.0,1.0,0.06884834637156512
